"job_id","title","company","industry","location","experience","education","salary","posted_at","description","tags","applicants","url"
"77phe","Python工程師","皇霖實業股份有限公司","人力派遣服務","台北市信義區","3年以上","專科","待遇面議","7/30","3 年以上 Python 後端開發經驗,熟悉 Flask 或其他 Python Web Framework (如 Django, FastAPI)。 熟悉 RESTful API 設計 與系統整合。 熟悉 Oracle Database","節日獎金/禮品 | 津貼/補助 | 員工旅遊","6~10 人應徵","https://www.104.com.tw/job/77phe"
"695ve","Python工程師","緯德科技股份有限公司 (TechLink Corporation)","電腦軟體服務業","台北市松山區","1年以上","專科","待遇面議","8/24","- 熟悉Python語言撰寫實務經驗1年以上。 - 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。 - 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。 - 配合公司專案需求至客戶端駐點服務。","年終獎金 | 津貼/補助 | 員工旅遊 | 部門聚餐 | 專業證照獎金","0~5 人應徵","https://www.104.com.tw/job/695ve"
"8pu3e","Python 工程師","百商數位科技股份有限公司","網際網路相關業","台北市大安區","2年以上","專科","待遇面議","8/20","徵才條件 1. 精通Python程式，開發交易策略 2. 具備金融領域系統介接經驗（如：交易系統、帳務) 3. 熟悉常用金融套件 4. 熟悉量化交易概念與金融商品 5. 具備策略回測開發與參數優化的經驗","年終獎金 | 節日獎金/禮品 | 津貼/補助 | 家庭日 | 員工旅遊","0~5 人應徵","https://www.104.com.tw/job/8pu3e"
"8fg6h","Home Assistant / Python工程師 (台中)","瑞司智慧整合股份有限公司","電腦系統整合服務業","台中市大里區","3年以上","大學","月薪50,000~110,000元","6/25","經驗。 ■ 熟悉 熟悉不同設備和服務的 API 整合，能夠編寫自定義組件或整合現有服務。 ■ 熟悉 JavaScript ，2年以上相關開發經驗。 ■ 熟悉 Python，2年以上相關開發經驗。 ■ 熟悉 SQL，Home Assistant 可以","年終獎金 | 分紅配股","0~5 人應徵","https://www.104.com.tw/job/8fg6h"
"76w1e","資深Python工程師(web/APP/AIoT開發)","學力創意科技股份有限公司","其它軟體及網路相關業","台北市大安區","5年以上","學歷不拘","年薪900,000~1,500,000元","5/19","-Python 監控與維運系統開發 -熟悉Python編程語言 -設計編寫API -系統維運 -技術文件撰寫 -熟悉AWS 【職務條件】 -具有 Git 版本控制相關知識 -熟悉 Linux 基本常見指令 -可獨立或與團隊合作，工作態度積極、負","距捷運大安站約190公尺 | 年終獎金 | 節日獎金/禮品 | 津貼/補助 | 免費下午茶","0~5 人應徵","https://www.104.com.tw/job/76w1e"
"8jj0a","Python工程師(台中)","振興發科技有限公司","其它軟體及網路相關業","台中市西屯區","經歷不拘","大學","待遇面議","8/24","1.熟悉 Python（Pandas、NumPy、SciPy、Scikit-learn），並具備數據分析、時序建模或機器學習的實作經驗。 2.具備基礎統計、機率論、回歸分析、貝氏統計、假設檢定的數理概念。 3.後端API串接、Web網路通訊知識。","節日獎金/禮品 | 健康檢查","11~30 人應徵","https://www.104.com.tw/job/8jj0a"
"72zcd","Python工程師((Web/APP/IoT開發))","學力創意科技股份有限公司","其它軟體及網路相關業","台北市大安區","經歷不拘","學歷不拘","年薪700,000~1,000,000元","5/19","-Python 監控與維運系統開發 -熟悉Python編程語言 -設計編寫API -系統維運 -技術文件撰寫 -熟悉AWS 【職務條件】 -具有 Git 版本控制相關知識 -熟悉 Linux 基本常見指令 -可獨立或與團隊合作，工作態度積極、負","距捷運大安站約180公尺 | 年終獎金 | 節日獎金/禮品 | 津貼/補助 | 免費下午茶","6~10 人應徵","https://www.104.com.tw/job/72zcd"
"697yq","Python工程師(PN001)","祐安資訊有限公司","電腦軟體服務業","台北市松山區","經歷不拘","專科","待遇面議","8/24","+ 具備 Python 實務經驗 + 工作態度積極、負責，重視團隊溝通合作 + 不當獨行俠，行有餘力時會主動支援及協助 加分 ++ 有使用 Python 開發的開源程式碼專案可供參考 ++ 有撰寫 Unit Test 經驗","距捷運南京復興站約370公尺 | 年終獎金 | 津貼/補助 | 員工旅遊 | 免費下午茶","11~30 人應徵","https://www.104.com.tw/job/697yq"
"8u9za","Python工程師(Web/APP/IoT開發)","學力創意科技股份有限公司","其它軟體及網路相關業","台北市大安區","經歷不拘","學歷不拘","待遇面議","5/19","-Python 監控與維運系統開發 -熟悉Python編程語言 -設計編寫API -系統維運 -技術文件撰寫 -熟悉AWS 【職務條件】 -具有 Git 版本控制相關知識 -熟悉 Linux 基本常見指令 -可獨立或與團隊合作，工作態度積極、負","遠端工作 | 距捷運大安站約220公尺 | 年終獎金 | 節日獎金/禮品 | 津貼/補助","11~30 人應徵","https://www.104.com.tw/job/8u9za"
"91mdj","資深Python工程師 (桌面應用開發)","動力安全資訊股份有限公司","電腦系統整合服務業","台北市內湖區","5年以上","大學","待遇面議","8/24","用經驗的資深工程師，能獨立負責模組設計、介面實作與系統整合工作。 ◆ 工作內容 應用開發 (60%): - 設計並實作桌面應用程式之核心功能與使用者介面 - 使用 Python 開發模組化、可維護的程式碼 - 處理檔案格式解析、資料匯入匯出與轉","年終獎金 | 節日獎金/禮品 | 津貼/補助 | 彈性上下班 | 家庭日","0~5 人應徵","https://www.104.com.tw/job/91mdj"
